_id,username,email,password,rol,registered_at,fav_movies[0],fav_movies[1],fav_movies[2],profile_pic
1,usilva,shawn63@example.net,rP&7IU!jLl,user,2020-02-03T01:05:21.000Z,,,,
2,sarabates,oneillvalerie@example.net,q3+8FDbn**,user,2024-07-10T20:22:04.000Z,,,,
3,yclayton,sbrown@example.net,3lzgRGpI(3,user,2024-06-16T09:13:04.000Z,,,,
4,tbrown,moorenancy@example.org,!9RHzLvMan,user,2021-12-22T20:44:57.000Z,,,,
5,erickent,claycourtney@example.org,+59mT&sy2b,user,2020-03-26T22:01:03.000Z,,,,
6,singhgregory,sbyrd@example.org,^7qAsxwGeg,user,2021-01-25T02:10:07.000Z,,,,
7,tperez,hpeterson@example.com,@_3JfGbu)8,user,2023-06-24T22:32:23.000Z,,,,
8,johncastro,joshuajones@example.com,r5I)H%mG@e,user,2022-03-19T04:45:06.000Z,,,,
9,jacksonjennifer,robertnichols@example.org,$f4P1fIr+d,user,2020-02-18T23:56:36.000Z,,,,
10,xmccarthy,annameza@example.net,hHO2hMjJo@,user,2023-08-12T08:56:19.000Z,,,,
11,sandrasanford,amanda22@example.org,L@Tb8BX2ay,user,2024-03-30T07:53:16.000Z,,,,
12,tsmith,krausejoshua@example.net,NgEgrF%!$2,user,2024-11-14T09:55:05.000Z,,,,
13,gortiz,lmyers@example.com,eJnF(2XtC(,user,2022-12-12T01:23:04.000Z,,,,
14,barry77,amcdowell@example.org,g+B9JVPa(r,user,2025-02-14T23:03:47.000Z,,,,
15,burgessjennifer,barrettmaria@example.org,LH(9$$QhT^,user,2022-08-19T09:08:25.000Z,,,,
16,elizabeth71,jacksonlaura@example.net,@U1APe)DWa,user,2021-05-17T16:20:18.000Z,,,,
17,patriciaandrews,danielsanchez@example.com,J@2Kj*oJYl,user,2021-08-29T07:03:28.000Z,,,,
18,beckbriana,elewis@example.net,Kz&4UcqvY2,user,2024-09-25T22:06:36.000Z,,,,
19,dianeherring,todd68@example.com,u_8Oy50vlI,user,2020-06-28T14:57:36.000Z,,,,
20,nguyenangela,christopherhaley@example.com,(4Kb&g*h#T,user,2023-04-22T19:06:13.000Z,,,,
21,michaelhenson,aliscott@example.org,_S0Qku2m2w,user,2024-08-04T04:15:56.000Z,,,,
22,cruzjames,lharrington@example.net,q#Yl24Zz(F,user,2023-01-10T09:23:02.000Z,,,,
23,gjohnson,deanna38@example.net,x(8HkkXQ1y,user,2024-09-14T12:45:00.000Z,,,,
24,smithtimothy,eric07@example.com,CcxFd*qS)8,user,2023-08-07T07:47:22.000Z,,,,
25,john11,sandrajohnson@example.net,!ybAX0Wi3h,user,2025-07-20T19:47:50.000Z,,,,
26,collinsbrandon,anthonyrobbins@example.com,IxG6MoxC@r,user,2023-12-12T16:46:55.000Z,,,,
27,cochranjames,hdiaz@example.com,#33fMvaCO1,user,2024-04-14T06:29:47.000Z,,,,
28,ycurtis,dianataylor@example.net,M7VZOj2B&V,user,2021-06-28T13:32:22.000Z,,,,
29,portermark,jenkinsleonard@example.net,_9f69Ypc%1,user,2025-09-24T03:44:35.000Z,,,,
30,cheyennestephens,glewis@example.org,+l(B0ux)&9,user,2022-02-11T08:30:28.000Z,,,,
31,welchjonathan,joseph62@example.org,58BjOkj8)s,user,2022-10-06T17:37:03.000Z,,,,
32,davisemily,aprice@example.net,X$g4C)oavx,user,2022-10-13T22:59:15.000Z,,,,
33,hallen,sabrina16@example.net,N*Q$t4FA_r,user,2023-11-03T03:40:11.000Z,,,,
34,masseyjoseph,turneramanda@example.org,OL3qSbJq_m,user,2021-09-12T03:22:11.000Z,,,,
35,martinkevin,robertguerrero@example.net,z+7#^VdjEo,user,2023-11-15T03:17:06.000Z,,,,
36,laurie37,jamesjacob@example.org,zYH)6KEoaL,user,2020-10-01T13:53:55.000Z,,,,
37,samanthathomas,julielee@example.org,%9mq1ZXoL#,user,2023-05-24T07:49:59.000Z,,,,
38,geraldholt,gonzalezsamantha@example.com,!&2+ACDp&S,user,2021-07-02T04:43:36.000Z,,,,
39,debra86,brandon59@example.net,6GrBg4a@*5,user,2021-12-13T00:07:28.000Z,,,,
40,gonzalezmegan,sanchezsara@example.com,l&6yMj%mX$,user,2021-08-17T09:57:09.000Z,,,,
41,oolson,jacobsmario@example.org,!0Nt($ti@f,user,2025-05-06T20:35:31.000Z,,,,
42,rachelpeters,lyoung@example.net,hJaHcP6ek*,user,2023-09-02T10:14:37.000Z,,,,
43,berrybarbara,afernandez@example.com,wZp7iSwg%9,user,2020-11-22T17:40:56.000Z,,,,
44,haileypatterson,alan41@example.com,%7TBycoA_+,user,2021-06-02T20:20:51.000Z,,,,
45,lindahill,beanhelen@example.org,jKJsT1Jo2%,user,2024-05-17T17:24:27.000Z,,,,
46,jmorris,matthewsderek@example.org,(cLo7g6wA1,user,2025-01-12T22:46:41.000Z,,,,
47,mary84,beverlymitchell@example.com,w^0hPw6b!3,user,2021-12-18T15:36:44.000Z,,,,
48,edavis,kwillis@example.org,(#a6cWdyn&,user,2023-09-04T22:24:33.000Z,,,,
49,craig70,tracycoleman@example.net,_94t+)Uq4d,user,2025-07-14T13:09:55.000Z,,,,
50,dmcpherson,garretttyler@example.org,$w7BFGHyB2,user,2025-01-10T10:05:26.000Z,,,,
51,wedwards,zallen@example.org,S9)wsN8g(q,user,2024-08-18T04:30:56.000Z,,,,
52,montoyalindsay,mcdanieljohn@example.org,2b9JE#mi%j,user,2021-12-16T02:22:50.000Z,,,,
53,ltucker,fraziermichael@example.net,C$BHIJbD!4,user,2020-07-01T07:31:58.000Z,,,,
54,nancyhodges,lopezgeorge@example.com,_!dJk^Tt16,user,2022-08-27T05:47:03.000Z,,,,
